Project	WBSPathID	ViewpointWBS	CommitmentID	CostAccountID	Quantity	UOM	Hours	Cost	VendorID	LineID	Description	TransactionDate	ExternalKey	TransactionTypeID	CreateDate
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-09-27T06:00:09.877-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-09T06:00:12.277-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.547-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.547-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.547-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.547-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.02.06023000000.41		3052132-01	41	0.00	LS	0.00	62990.00	130.115494	1	EARTHWORK	2018-10-08	107414321		2018-10-18T06:00:26.563-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.577-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.577-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.577-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.577-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.577-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.593-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.593-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.593-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.593-07
	3052132.96.06961001000.41		3052132-02	41	0.00	LS	0.00	20000.00	130.109264	1	ORIGINAL CONTRACT	2018-09-20	106770100		2018-10-18T06:00:26.593-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.593-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.610-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.610-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.627-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.627-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.627-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.640-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.640-07
	3052132.01.06013140000.45		LF-180023	45	0.00	WKS	0.00	32620.00	130.102149	1	SCHEDULING SEVERICES	2018-10-03	107791833		2018-10-18T06:00:26.640-07
